Round;Date;HomeTeam;GuestTeam;Score;ScoreHalfTime
1;15.8.2021 15:00;SV Horn;Union LUV Graz;1:1;(1:1)
1;15.8.2021 14:00;Wildcats 11teamsports Krottendorf;Sportunion Raiffeisen Geretsberg;1:1;(1:1)
1;15.8.2021 11:00;FC Mohren Dornbirn Damen;Carinthians LIWOdruck Hornets;1:1;(1:1)
2;21.8.2021 14:00;SV Fenastra Krenglbach;SV Horn;0:4;(0:1)
5;11.9.2021 16:00;SC Neusiedl am See 1919;Union LUV Graz;0:1;(0:0)
7;26.9.2021 14:00;Wildcats 11teamsports Krottendorf;FC Altera Porta;6:3;(4:2)
2;22.8.2021 14:00;Sportunion Raiffeisen Geretsberg;USC Landhaus;5:4;(4:2)
3;29.8.2021 11:00;FC Mohren Dornbirn Damen;SV Fenastra Krenglbach;6:1;(4:1)
3;29.8.2021 14:00;USC Landhaus;Carinthians LIWOdruck Hornets;3:4;(1:2)
